Site Name,Site Location,Site Description,AP Name,AP Description,AP Mac,AP IPV4,AP IPV6,Firmware Version,Uptime,Downtime,Model,AP Status,AP Serial No,Created At,2.4 Radio Mac,5 Radio Mac,802.11an Status,802.11bgn Status,WLAN List,Min CPU Utilization,Max CPU Utilization,Avg CPU Utilization,Min Memory Utilization,Max Memory Utilization,Avg Memory Utilization,Min Latency(ms),Max Latency(ms),Avg Latency(ms),SAP ID,Last Seen Date & Time,Ethernet Speed(Mbps),Duplex Status,Partition 0 Firmware Version,Partition 1 Firmware Version,Active Partition Firmware Version,Allow Device Specific Radio Config,Allow Site Specific Radio Config,Group Name,apGroupName,subAPGroup1,subAPGroup2,subAPGroup3,subAPGroup4,First Online Time
Guest_BLR | TEST-A | TEST-A,D32,,PALC,,00:06:ae:6d:7b:0d,192.168.171.108,2405:200:902:600:206:aeff:fe6d:7b0d,12.1.0.16,8 Days 23:17:25,,ion4xi,Online,2202723600001,14-05-2025 16:21,,00:06:ae:6d:7a:fc,Enabled,Disabled,Test_Network;Guest_Network,9.28,9.39,9.31,56.57,60.13,58.35,17.31,24.69,18.75,6361,14-05-2025 10:53:58,"['1000', '0']","['Full', 'Unknown']",12.1.0.16,12.1.0.14,0,Disabled,Disabled,Guest_BLR | TEST-A, TEST-A, TEST-A ,Guest_BLR ,,,10-01-2025 04:41
5G_R&D,BLR,,Zone_B1,,00:06:ae:60:0f:57,172.24.23.138,fd09:712b:32a2::206:aeff:fe60:f57,12.1.0.14,39 Days 0:40:36,,ion4xi,Online,2303723601052,14-05-2025 16:21,,00:06:ae:60:0f:46,Enabled,Disabled,5G_R&D,4.75,4.78,4.76,47.07,47.72,47.38,17.71,29.79,19.22,1111,13-05-2025 16:13:39,"['1000', '0']","['Full', 'Unknown']",12.0.2.16,12.1.0.14,1,Disabled,Disabled,5G_R&D,5G_R&D,,,,,04-04-2024 11:17
5G_R&D,BLR,,Zone-A,Zone A,00:06:ae:60:7b:b7,172.24.22.36,,12.1.0.14,13 Days 6:13:42,,ion4xi,Online,2303723600258,14-05-2025 16:21,,00:06:ae:60:7b:a6,Enabled,Disabled,5G_R&D,3.25,3.29,3.26,45.53,46.88,46.11,17.62,24.89,19.25,1111,13-05-2025 16:13:34,"['1000', '0']","['Full', 'Unknown']",12.1.0.14,12.1.0.1,0,Disabled,Disabled,5G_R&D,5G_R&D,,,,,04-01-2024 09:25
5G_R&D,BLR,,ion12xi_h2,,00:06:ae:84:f8:33,172.24.21.149,fe80::206:aeff:fe84:f833,17.1.0.16,12 Days 7:39:49,,ion12xi_h2,Online,2404722001874,14-05-2025 16:21,,00:06:ae:84:f8:23,Enabled,Disabled,5G_R&D,7.34,7.49,7.37,30.82,31.79,31.33,17.6,24.74,19.06,1111,13-05-2025 16:13:51,"['0', '1000']","['Unknown', 'Full']",17.1.0.16,17.1.0.14,0,Disabled,Disabled,5G_R&D,5G_R&D,,,,,21-11-2024 06:21
BLR-WIFILAB,ban,,HFCL-cb:00:33,,00:06:ae:cb:00:33,192.168.171.7,2405:200:902:600:206:aeff:fecb:33,12.1.0.16,8 Days 3:48:8,,ion4xe,Online,2407723800437,14-05-2025 16:21,00:06:ae:cb:00:12,00:06:ae:cb:00:22,Enabled,Enabled,wifilab,10.24,10.26,10.24,54.97,58.17,56.5,17.44,24.29,18.95,ban,14-05-2025 10:37:56,"['1000', '0']","['Full', 'Unknown']",12.1.0.16,12.1.0.15,0,Disabled,Disabled,BLR-WIFILAB,BLR-WIFILAB,,,,,27-01-2025 07:50
Guest_BLR | TEST-A | TEST-A,D32,,Wallplate,,00:06:ae:c4:57:66,192.168.70.92,fe80::206:aeff:fec4:5766,13.1.0.16,8 Days 3:20:49,,ion4xi_WP,Online,2305722604239,14-05-2025 16:21,,00:06:ae:c4:57:52,Enabled,Disabled,Test_Network;Guest_Network,17.33,17.85,17.55,54.19,56.04,55.17,17.33,24.96,18.91,6361,13-05-2025 16:13:36,"['1000', '0', '0', '0', '0']","['Full', 'Half', 'Unknown', 'Unknown', 'Unknown']",13.1.0.15,13.1.0.16,1,Disabled,Disabled,Guest_BLR | TEST-A, TEST-A, TEST-A ,Guest_BLR ,,,25-04-2025 07:16
5G_R&D,BLR,,Zone-D2,ZONE D2,00:06:ae:60:57:db,172.24.22.103,,12.1.0.14,13 Days 6:22:41,,ion4xi,Online,2303723600535,14-05-2025 16:21,,00:06:ae:60:57:ca,Enabled,Disabled,5G_R&D,5.41,5.57,5.46,46.17,49.25,46.78,17.58,24.96,19.11,1111,14-05-2025 14:54:56,"['1000', '0']","['Full', 'Unknown']",12.1.0.14,12.1.0.1,0,Disabled,Disabled,5G_R&D,5G_R&D,,,,,10-01-2024 05:09
IopassTEST,GGN,,AP-1,,00:06:ae:86:9c:53,14.14.247.182,2402:2::18,17.0.10.3,6 Days 0:56:44,21 Days 4:11:40,ion12xi_h2,Offline,2404722000632,14-05-2025 16:21,,00:06:ae:86:9c:43,Enabled,Disabled,,,,,,,,,,,4514451,23-04-2025 12:09:52,,,17.1.0.14,17.0.10.3,1,Disabled,Disabled,IopassTEST,IopassTEST,,,,,15-04-2025 10:41
BLR-WIFILAB,ban,,HFCL-63:00:23,WiFi_A,00:06:ae:63:00:23,192.168.170.63,,12.0.5.12,31 Days 5:36:41,155 Days 22:37:56,ion4xi,Offline,2211723601321,14-05-2025 16:21,,,,,,,,,,,,,,,ban,09-12-2024 17:43:36,,,12.0.5.11,12.0.5.12,1,Disabled,Disabled,BLR-WIFILAB,BLR-WIFILAB,,,,,04-01-2024 08:13
Demo,ban,,Demo,,00:06:ae:60:9d:95,192.168.180.131,,12.0.4.5,0:26:23,224 Days 21:52:58,ion4xi,Offline,2302723601058,14-05-2025 16:21,00:06:ae:60:9d:74,00:06:ae:60:9d:84,Enabled,Enabled,,,,,,,,,,,1234,01-10-2024 18:28:34,,,12.0.2.28,12.0.4.5,1,Disabled,Disabled,Demo,Demo,,,,,01-10-2024 12:03
