Site Name,Site Location,Site Description,AP Name,AP Description,AP Mac,AP IPV4,AP IPV6,Firmware Version,Uptime,Downtime,Model,AP Status,AP Serial No,Created At,2.4 Radio Mac,5 Radio Mac,802.11an Status,802.11bgn Status,WLAN List,Min CPU Utilization,Max CPU Utilization,Avg CPU Utilization,Min Memory Utilization,Max Memory Utilization,Avg Memory Utilization,Min Latency(ms),Max Latency(ms),Avg Latency(ms),SAP ID,Last Seen Date & Time,Ethernet Speed(Mbps),Duplex Status,Partition 0 Firmware Version,Partition 1 Firmware Version,Active Partition Firmware Version,Allow Device Specific Radio Config,Allow Site Specific Radio Config,Group Name,apGroupName,subAPGroup1,subAPGroup2,subAPGroup3,subAPGroup4,First Online Time
Guest_BLR | TEST-A | TEST-A,D32,,PALC,,00:06:ae:6d:7b:0d,192.168.171.108,,12.1.0.16,6 Days 21:47:39,,ion4xi,Online,2202723600001,12-05-2025 14:51,,00:06:ae:6d:7a:fc,Enabled,Disabled,Guest_Network;Test_Network,9.14,9.38,9.25,55.94,73.45,69.4,17.03,29.71,19.61,6361,12-05-2025 12:51:01,"['1000', '0']","['Full', 'Unknown']",12.1.0.16,12.1.0.14,0,Disabled,Disabled,Guest_BLR | TEST-A, TEST-A, TEST-A ,Guest_BLR ,,,10-01-2025 04:41
5G_R&D,BLR,,Zone_B1,,00:06:ae:60:0f:57,172.24.23.138,,12.1.0.14,36 Days 23:11:20,,ion4xi,Online,2303723601052,12-05-2025 14:51,,00:06:ae:60:0f:46,Enabled,Disabled,5G_R&D,4.75,4.76,4.75,48.21,48.63,48.4,17.89,33.32,19.65,1111,09-05-2025 16:50:23,"['1000', '0']","['Full', 'Unknown']",12.0.2.16,12.1.0.14,1,Disabled,Disabled,5G_R&D,5G_R&D,,,,,04-04-2024 11:17
5G_R&D,BLR,,Zone-A,Zone A,00:06:ae:60:7b:b7,172.24.22.36,,12.1.0.14,11 Days 4:43:27,,ion4xi,Online,2303723600258,12-05-2025 14:51,,00:06:ae:60:7b:a6,Enabled,Disabled,5G_R&D,3.23,3.25,3.23,47.15,48.27,47.5,17.9,33.27,19.84,1111,08-05-2025 11:27:21,"['1000', '0']","['Full', 'Unknown']",12.1.0.14,12.1.0.1,0,Disabled,Disabled,5G_R&D,5G_R&D,,,,,04-01-2024 09:25
5G_R&D,BLR,,ion12xi_h2,,00:06:ae:84:f8:33,172.24.21.149,,17.1.0.16,10 Days 6:10:47,,ion12xi_h2,Online,2404722001874,12-05-2025 14:51,,00:06:ae:84:f8:23,Enabled,Disabled,5G_R&D,7.3,7.34,7.31,29.51,35.4,34.16,17.78,32.59,19.53,1111,12-05-2025 12:58:50,"['0', '1000']","['Unknown', 'Full']",17.1.0.16,17.1.0.14,0,Disabled,Disabled,5G_R&D,5G_R&D,,,,,21-11-2024 06:21
BLR-WIFILAB,ban,,HFCL-cb:00:33,,00:06:ae:cb:00:33,192.168.171.7,,12.1.0.16,6 Days 2:18:28,,ion4xe,Online,2407723800437,12-05-2025 14:51,00:06:ae:cb:00:12,00:06:ae:cb:00:22,Enabled,Enabled,wifilab,10.26,10.3,10.27,47.14,69.45,66.17,17.3,30.57,20.09,ban,12-05-2025 12:51:04,"['1000', '0']","['Full', 'Unknown']",12.1.0.16,12.1.0.15,0,Disabled,Disabled,BLR-WIFILAB,BLR-WIFILAB,,,,,27-01-2025 07:50
Guest_BLR | TEST-A | TEST-A,D32,,Wallplate,,00:06:ae:c4:57:66,192.168.70.92,,13.1.0.16,6 Days 1:51:48,,ion4xi_WP,Online,2305722604239,12-05-2025 14:51,,00:06:ae:c4:57:52,Enabled,Disabled,Guest_Network;Test_Network,16.99,17.65,17.25,51.33,69.23,66.15,17.45,30.51,20.02,6361,12-05-2025 13:15:35,"['1000', '0', '0', '0', '0']","['Full', 'Half', 'Unknown', 'Unknown', 'Unknown']",13.1.0.15,13.1.0.16,1,Disabled,Disabled,Guest_BLR | TEST-A, TEST-A, TEST-A ,Guest_BLR ,,,25-04-2025 07:16
5G_R&D,BLR,,Zone-D2,ZONE D2,00:06:ae:60:57:db,172.24.22.103,,12.1.0.14,11 Days 4:52:42,,ion4xi,Online,2303723600535,12-05-2025 14:51,,00:06:ae:60:57:ca,Enabled,Disabled,5G_R&D,5.27,5.33,5.29,47.58,47.89,47.73,17.79,33.37,19.59,1111,08-05-2025 19:18:58,"['1000', '0']","['Full', 'Unknown']",12.1.0.14,12.1.0.1,0,Disabled,Disabled,5G_R&D,5G_R&D,,,,,10-01-2024 05:09
IopassTEST,GGN,,AP-1,,00:06:ae:86:9c:53,14.14.247.182,,17.0.10.3,6 Days 0:56:44,19 Days 2:41:57,ion12xi_h2,Offline,2404722000632,12-05-2025 14:51,,00:06:ae:86:9c:43,Enabled,Disabled,,,,,,,,,,,4514451,23-04-2025 12:09:52,,,17.1.0.14,17.0.10.3,1,Disabled,Disabled,IopassTEST,IopassTEST,,,,,15-04-2025 10:41
BLR-WIFILAB,ban,,HFCL-63:00:23,WiFi_A,00:06:ae:63:00:23,192.168.170.63,,12.0.5.12,31 Days 5:36:41,153 Days 21:8:13,ion4xi,Offline,2211723601321,12-05-2025 14:51,,,,,,,,,,,,,,,ban,09-12-2024 17:43:36,,,12.0.5.11,12.0.5.12,1,Disabled,Disabled,BLR-WIFILAB,BLR-WIFILAB,,,,,04-01-2024 08:13
Demo,ban,,Demo,,00:06:ae:60:9d:95,192.168.180.131,,12.0.4.5,0:26:23,222 Days 20:23:15,ion4xi,Offline,2302723601058,12-05-2025 14:51,00:06:ae:60:9d:74,00:06:ae:60:9d:84,Enabled,Enabled,,,,,,,,,,,1234,01-10-2024 18:28:34,,,12.0.2.28,12.0.4.5,1,Disabled,Disabled,Demo,Demo,,,,,01-10-2024 12:03
