Device Name,Device IPv4,Device IPv6,Mac Address,Site Name,Event,Description,Severity,Alarm Time,Acked Time,Clear Time,Ssid Name
HFCL-cb:00:33,192.168.171.7,2405:200:902:600:206:aeff:fecb:33,00:06:ae:cb:00:33,BLR-WIFILAB,Client Deauthenticated from AP,"Client ""7C:21:4A:FB:2F:D9"" deauthenticated from AP ""HFCL-cb:00:33""",Major,12-05-2025 17:28,,,wifilab
HFCL-cb:00:33,192.168.171.7,2405:200:902:600:206:aeff:fecb:33,00:06:ae:cb:00:33,BLR-WIFILAB,Client Dissociated,"Client ""C2:9F:D8:14:AD:3C"" dissociated with AP ""HFCL-cb:00:33""",Major,12-05-2025 17:24,,,wifilab
HFCL-cb:00:33,192.168.171.7,2405:200:902:600:206:aeff:fecb:33,00:06:ae:cb:00:33,BLR-WIFILAB, Client Reassociated,"Client ""C2:9F:D8:14:AD:3C"" reassociated with AP ""HFCL-cb:00:33""",Major,12-05-2025 17:24,,,wifilab
HFCL-cb:00:33,192.168.171.7,2405:200:902:600:206:aeff:fecb:33,00:06:ae:cb:00:33,BLR-WIFILAB,Client Deauthenticated from AP,"Client ""C2:9F:D8:14:AD:3C"" deauthenticated from AP ""HFCL-cb:00:33""",Major,12-05-2025 17:24,,,wifilab
HFCL-cb:00:33,192.168.171.7,2405:200:902:600:206:aeff:fecb:33,00:06:ae:cb:00:33,BLR-WIFILAB,Client Authenticated with AP,"Client ""C2:9F:D8:14:AD:3C"" authenticated with AP ""HFCL-cb:00:33""",Major,12-05-2025 17:24,,,wifilab
HFCL-cb:00:33,192.168.171.7,2405:200:902:600:206:aeff:fecb:33,00:06:ae:cb:00:33,BLR-WIFILAB, Client Associated,"Client ""7C:21:4A:FB:2F:D9"" associated with AP ""HFCL-cb:00:33""",Major,12-05-2025 17:24,,,wifilab
HFCL-cb:00:33,192.168.171.7,2405:200:902:600:206:aeff:fecb:33,00:06:ae:cb:00:33,BLR-WIFILAB, Client Reassociated,"Client ""D0:39:57:C6:84:15"" reassociated with AP ""HFCL-cb:00:33""",Major,12-05-2025 17:24,,,wifilab
HFCL-cb:00:33,192.168.171.7,2405:200:902:600:206:aeff:fecb:33,00:06:ae:cb:00:33,BLR-WIFILAB,Client Authenticated with AP,"Client ""D0:39:57:C6:84:15"" authenticated with AP ""HFCL-cb:00:33""",Major,12-05-2025 17:24,,,wifilab
HFCL-cb:00:33,192.168.171.7,2405:200:902:600:206:aeff:fecb:33,00:06:ae:cb:00:33,BLR-WIFILAB,Client Authenticated with AP,"Client ""7C:21:4A:FB:2F:D9"" authenticated with AP ""HFCL-cb:00:33""",Major,12-05-2025 17:24,,,wifilab
HFCL-cb:00:33,192.168.171.7,2405:200:902:600:206:aeff:fecb:33,00:06:ae:cb:00:33,BLR-WIFILAB,Client Deauthenticated from AP,"Client ""C2:9F:D8:14:AD:3C"" deauthenticated from AP ""HFCL-cb:00:33""",Major,12-05-2025 17:24,,,wifilab
HFCL-cb:00:33,192.168.171.7,2405:200:902:600:206:aeff:fecb:33,00:06:ae:cb:00:33,BLR-WIFILAB,Client Deauthenticated from AP,"Client ""D0:39:57:C6:84:15"" deauthenticated from AP ""HFCL-cb:00:33""",Major,12-05-2025 17:24,,,wifilab
HFCL-cb:00:33,192.168.171.7,2405:200:902:600:206:aeff:fecb:33,00:06:ae:cb:00:33,BLR-WIFILAB,Client Deauthenticated from AP,"Client ""7C:21:4A:FB:2F:D9"" deauthenticated from AP ""HFCL-cb:00:33""",Major,12-05-2025 17:24,,,wifilab
HFCL-cb:00:33,192.168.171.7,2405:200:902:600:206:aeff:fecb:33,00:06:ae:cb:00:33,BLR-WIFILAB,Client Authenticated with AP,"Client ""C2:9F:D8:14:AD:3C"" authenticated with AP ""HFCL-cb:00:33""",Major,12-05-2025 17:23,,,wifilab
HFCL-cb:00:33,192.168.171.7,2405:200:902:600:206:aeff:fecb:33,00:06:ae:cb:00:33,BLR-WIFILAB, Client Associated,"Client ""C2:9F:D8:14:AD:3C"" associated with AP ""HFCL-cb:00:33""",Major,12-05-2025 17:23,,,wifilab
