Site Name,Site Location,Site Description,AP Name,AP Description,AP Mac,AP IPV4,AP IPV6,Firmware Version,Uptime,Downtime,Model,AP Status,AP Serial No,Created At,2.4 Radio Mac,5 Radio Mac,802.11an Status,802.11bgn Status,WLAN List,Min CPU Utilization,Max CPU Utilization,Avg CPU Utilization,Min Memory Utilization,Max Memory Utilization,Avg Memory Utilization,Min Latency(ms),Max Latency(ms),Avg Latency(ms),SAP ID,Last Seen Date & Time,Ethernet Speed(Mbps),Duplex Status,Partition 0 Firmware Version,Partition 1 Firmware Version,Active Partition Firmware Version,Allow Device Specific Radio Config,Allow Site Specific Radio Config,Group Name,apGroupName,subAPGroup1,subAPGroup2,subAPGroup3,subAPGroup4,First Online Time
Guest_BLR | TEST-A | TEST-A,D32,,PALC,,00:06:ae:6d:7b:0d,192.168.171.108,,12.1.0.16,7 Days 23:36:7,,ion4xi,Online,2202723600001,13-05-2025 16:40,,00:06:ae:6d:7a:fc,Enabled,Disabled,Guest_Network;Test_Network,9.3,9.38,9.33,56.39,61.63,60.38,17.09,36.54,18.01,6361,13-05-2025 16:13:40,"['1000', '0']","['Full', 'Unknown']",12.1.0.16,12.1.0.14,0,Disabled,Disabled,Guest_BLR | TEST-A, TEST-A, TEST-A ,Guest_BLR ,,,10-01-2025 04:41
5G_R&D,BLR,,Zone_B1,,00:06:ae:60:0f:57,172.24.23.138,,12.1.0.14,38 Days 0:59:35,,ion4xi,Online,2303723601052,13-05-2025 16:40,,00:06:ae:60:0f:46,Enabled,Disabled,5G_R&D,4.75,4.76,4.76,46.82,49.2,49.0,17.87,22.77,18.63,1111,13-05-2025 16:13:39,"['1000', '0']","['Full', 'Unknown']",12.0.2.16,12.1.0.14,1,Disabled,Disabled,5G_R&D,5G_R&D,,,,,04-04-2024 11:17
5G_R&D,BLR,,Zone-A,Zone A,00:06:ae:60:7b:b7,172.24.22.36,,12.1.0.14,12 Days 6:31:40,,ion4xi,Online,2303723600258,13-05-2025 16:40,,00:06:ae:60:7b:a6,Enabled,Disabled,5G_R&D,3.24,3.27,3.24,45.18,48.37,48.21,17.76,36.15,18.72,1111,13-05-2025 16:13:34,"['1000', '0']","['Full', 'Unknown']",12.1.0.14,12.1.0.1,0,Disabled,Disabled,5G_R&D,5G_R&D,,,,,04-01-2024 09:25
5G_R&D,BLR,,ion12xi_h2,,00:06:ae:84:f8:33,172.24.21.149,,17.1.0.16,11 Days 7:58:49,,ion12xi_h2,Online,2404722001874,13-05-2025 16:40,,00:06:ae:84:f8:23,Enabled,Disabled,5G_R&D,7.34,7.4,7.36,29.65,32.08,31.56,17.74,21.24,18.25,1111,13-05-2025 16:13:51,"['0', '1000']","['Unknown', 'Full']",17.1.0.16,17.1.0.14,0,Disabled,Disabled,5G_R&D,5G_R&D,,,,,21-11-2024 06:21
BLR-WIFILAB,ban,,HFCL-cb:00:33,,00:06:ae:cb:00:33,192.168.171.7,,12.1.0.16,7 Days 4:6:58,,ion4xe,Online,2407723800437,13-05-2025 16:40,00:06:ae:cb:00:12,00:06:ae:cb:00:22,Enabled,Enabled,wifilab,10.25,10.27,10.26,55.43,61.0,58.67,17.18,36.55,18.19,ban,13-05-2025 16:13:46,"['1000', '0']","['Full', 'Unknown']",12.1.0.16,12.1.0.15,0,Disabled,Disabled,BLR-WIFILAB,BLR-WIFILAB,,,,,27-01-2025 07:50
Guest_BLR | TEST-A | TEST-A,D32,,Wallplate,,00:06:ae:c4:57:66,192.168.70.92,,13.1.0.16,7 Days 3:39:49,,ion4xi_WP,Online,2305722604239,13-05-2025 16:40,,00:06:ae:c4:57:52,Enabled,Disabled,Guest_Network;Test_Network,17.24,17.88,17.55,51.61,55.54,53.46,17.47,36.49,18.32,6361,13-05-2025 16:13:36,"['1000', '0', '0', '0', '0']","['Full', 'Half', 'Unknown', 'Unknown', 'Unknown']",13.1.0.15,13.1.0.16,1,Disabled,Disabled,Guest_BLR | TEST-A, TEST-A, TEST-A ,Guest_BLR ,,,25-04-2025 07:16
5G_R&D,BLR,,Zone-D2,ZONE D2,00:06:ae:60:57:db,172.24.22.103,,12.1.0.14,12 Days 6:41:24,,ion4xi,Online,2303723600535,13-05-2025 16:40,,00:06:ae:60:57:ca,Enabled,Disabled,5G_R&D,5.3,5.46,5.35,46.19,49.23,48.64,17.78,20.46,18.36,1111,13-05-2025 16:13:39,"['1000', '0']","['Full', 'Unknown']",12.1.0.14,12.1.0.1,0,Disabled,Disabled,5G_R&D,5G_R&D,,,,,10-01-2024 05:09
IopassTEST,GGN,,AP-1,,00:06:ae:86:9c:53,14.14.247.182,,17.0.10.3,6 Days 0:56:44,20 Days 4:30:14,ion12xi_h2,Offline,2404722000632,13-05-2025 16:40,,00:06:ae:86:9c:43,Enabled,Disabled,,,,,,,,,,,4514451,23-04-2025 12:09:52,,,17.1.0.14,17.0.10.3,1,Disabled,Disabled,IopassTEST,IopassTEST,,,,,15-04-2025 10:41
BLR-WIFILAB,ban,,HFCL-63:00:23,WiFi_A,00:06:ae:63:00:23,192.168.170.63,,12.0.5.12,31 Days 5:36:41,154 Days 22:56:30,ion4xi,Offline,2211723601321,13-05-2025 16:40,,,,,,,,,,,,,,,ban,09-12-2024 17:43:36,,,12.0.5.11,12.0.5.12,1,Disabled,Disabled,BLR-WIFILAB,BLR-WIFILAB,,,,,04-01-2024 08:13
Demo,ban,,Demo,,00:06:ae:60:9d:95,192.168.180.131,,12.0.4.5,0:26:23,223 Days 22:11:32,ion4xi,Offline,2302723601058,13-05-2025 16:40,00:06:ae:60:9d:74,00:06:ae:60:9d:84,Enabled,Enabled,,,,,,,,,,,1234,01-10-2024 18:28:34,,,12.0.2.28,12.0.4.5,1,Disabled,Disabled,Demo,Demo,,,,,01-10-2024 12:03
