Site Name,Site Location,Site Description,AP Name,AP Description,AP Mac,AP IPV4,AP IPV6,Firmware Version,Uptime,Downtime,Model,AP Status,AP Serial No,Created At,2.4 Radio Mac,5 Radio Mac,802.11an Status,802.11bgn Status,WLAN List,Min CPU Utilization,Max CPU Utilization,Avg CPU Utilization,Min Memory Utilization,Max Memory Utilization,Avg Memory Utilization,Min Latency(ms),Max Latency(ms),Avg Latency(ms),SAP ID,Last Seen Date & Time,Ethernet Speed(Mbps),Duplex Status,Partition 0 Firmware Version,Partition 1 Firmware Version,Active Partition Firmware Version,Allow Device Specific Radio Config,Allow Site Specific Radio Config,Group Name,apGroupName,subAPGroup1,subAPGroup2,subAPGroup3,subAPGroup4,First Online Time
Guest_BLR | TEST-A | TEST-A,D32,,PALC,,00:06:ae:6d:7b:0d,192.168.171.108,2405:200:902:600:206:aeff:fe6d:7b0d,12.1.0.16,9 Days 23:27:19,,ion4xi,Online,2202723600001,15-05-2025 16:31,,00:06:ae:6d:7a:fc,Enabled,Disabled,Test_Network;Guest_Network,9.3,9.37,9.32,49.57,61.3,59.15,17.67,22.87,18.31,6361,15-05-2025 13:08:52,"['1000', '0']","['Full', 'Unknown']",12.1.0.16,12.1.0.14,0,Disabled,Disabled,Guest_BLR | TEST-A, TEST-A, TEST-A ,Guest_BLR ,,,10-01-2025 04:41
5G_R&D,BLR,,Zone_B1,,00:06:ae:60:0f:57,172.24.23.138,fe80::206:aeff:fe60:f57,12.1.0.16,8:24:46,,ion4xi,Online,2303723601052,15-05-2025 16:31,,00:06:ae:60:0f:46,Enabled,Disabled,5G_R&D,4.02,12.35,5.92,37.4,47.99,42.62,17.74,22.07,18.4,1111,15-05-2025 08:09:18,"['1000', '0']","['Full', 'Unknown']",12.1.0.16,12.1.0.14,0,Disabled,Disabled,5G_R&D,5G_R&D,,,,,04-04-2024 11:17
5G_R&D,BLR,,Zone-A,Zone A,00:06:ae:60:7b:b7,172.24.22.36,fe80::206:aeff:fe60:7bb7,12.1.0.16,8:22:44,,ion4xi,Online,2303723600258,15-05-2025 16:31,,00:06:ae:60:7b:a6,Enabled,Disabled,5G_R&D,3.29,12.0,4.72,37.65,46.29,42.38,17.58,22.13,18.38,1111,15-05-2025 08:11:17,"['1000', '0']","['Full', 'Unknown']",12.1.0.14,12.1.0.16,1,Disabled,Disabled,5G_R&D,5G_R&D,,,,,04-01-2024 09:25
5G_R&D,BLR,,ion12xi_h2,,00:06:ae:84:f8:33,172.24.21.149,fe80::206:aeff:fe84:f833,17.1.0.16,13 Days 7:49:49,,ion12xi_h2,Online,2404722001874,15-05-2025 16:31,,00:06:ae:84:f8:23,Enabled,Disabled,5G_R&D,7.55,7.61,7.57,33.03,34.36,33.63,17.66,21.77,18.15,1111,13-05-2025 16:13:51,"['0', '1000']","['Unknown', 'Full']",17.1.0.16,17.1.0.14,0,Disabled,Disabled,5G_R&D,5G_R&D,,,,,21-11-2024 06:21
BLR-WIFILAB,ban,,HFCL-cb:00:33,,00:06:ae:cb:00:33,192.168.171.7,2405:200:902:600:206:aeff:fecb:33,12.1.0.16,9 Days 3:58:9,,ion4xe,Online,2407723800437,15-05-2025 16:31,00:06:ae:cb:00:12,00:06:ae:cb:00:22,Enabled,Enabled,wifilab,10.24,10.26,10.25,53.56,60.54,57.76,17.59,21.5,18.66,ban,15-05-2025 13:08:58,"['1000', '0']","['Full', 'Unknown']",12.1.0.16,12.1.0.15,0,Disabled,Disabled,BLR-WIFILAB,BLR-WIFILAB,,,,,27-01-2025 07:50
Guest_BLR | TEST-A | TEST-A,D32,,Wallplate,,00:06:ae:c4:57:66,192.168.70.92,fe80::206:aeff:fec4:5766,13.1.0.16,9 Days 3:30:50,,ion4xi_WP,Online,2305722604239,15-05-2025 16:31,,00:06:ae:c4:57:52,Enabled,Disabled,Test_Network;Guest_Network,17.32,17.83,17.54,58.69,60.71,59.68,17.48,22.08,18.59,6361,13-05-2025 16:13:36,"['1000', '0', '0', '0', '0']","['Full', 'Half', 'Unknown', 'Unknown', 'Unknown']",13.1.0.15,13.1.0.16,1,Disabled,Disabled,Guest_BLR | TEST-A, TEST-A, TEST-A ,Guest_BLR ,,,25-04-2025 07:16
5G_R&D,BLR,,Zone-D2,ZONE D2,00:06:ae:60:57:db,172.24.22.103,fe80::206:aeff:fe60:57db,12.1.0.16,8:22:57,,ion4xi,Online,2303723600535,15-05-2025 16:31,,00:06:ae:60:57:ca,Enabled,Disabled,5G_R&D,3.5,12.07,6.93,36.84,47.64,43.18,17.67,21.53,18.38,1111,15-05-2025 11:11:38,"['1000', '0']","['Full', 'Unknown']",12.1.0.14,12.1.0.16,1,Disabled,Disabled,5G_R&D,5G_R&D,,,,,10-01-2024 05:09
IopassTEST,GGN,,AP-1,,00:06:ae:86:9c:53,14.14.247.182,2402:2::18,17.0.10.3,6 Days 0:56:44,22 Days 4:21:28,ion12xi_h2,Offline,2404722000632,15-05-2025 16:31,,00:06:ae:86:9c:43,Enabled,Disabled,,,,,,,,,,,4514451,23-04-2025 12:09:52,,,17.1.0.14,17.0.10.3,1,Disabled,Disabled,IopassTEST,IopassTEST,,,,,15-04-2025 10:41
BLR-WIFILAB,ban,,HFCL-63:00:23,WiFi_A,00:06:ae:63:00:23,192.168.170.63,,12.0.5.12,31 Days 5:36:41,156 Days 22:47:44,ion4xi,Offline,2211723601321,15-05-2025 16:31,,,,,,,,,,,,,,,ban,09-12-2024 17:43:36,,,12.0.5.11,12.0.5.12,1,Disabled,Disabled,BLR-WIFILAB,BLR-WIFILAB,,,,,04-01-2024 08:13
Demo,ban,,Demo,,00:06:ae:60:9d:95,192.168.180.131,,12.0.4.5,0:26:23,225 Days 22:2:46,ion4xi,Offline,2302723601058,15-05-2025 16:31,00:06:ae:60:9d:74,00:06:ae:60:9d:84,Enabled,Enabled,,,,,,,,,,,1234,01-10-2024 18:28:34,,,12.0.2.28,12.0.4.5,1,Disabled,Disabled,Demo,Demo,,,,,01-10-2024 12:03
5G_R&D,BLR,,Zone-D1,,00:06:ae:60:65:89,172.24.19.237,,12.1.0.1,54 Days 6:27:45,177 Days 21:59:15,ion4xi,Offline,2303723600402,15-05-2025 16:31,00:06:ae:60:65:68,00:06:ae:60:65:78,Enabled,Enabled,,,,,,,,,,,1111,18-11-2024 18:32:05,,,12.0.2.7,12.1.0.1,1,Disabled,Disabled,5G_R&D,5G_R&D,,,,,24-01-2024 10:05
BLR-WIFILAB,ban,,HFCL3,,00:06:ae:63:03:31,192.168.171.55,,12.0.9.7,0:26:37,108 Days 3:5:47,ion4xi,Offline,2211723601284,15-05-2025 16:31,00:06:ae:63:03:10,00:06:ae:63:03:20,Enabled,Enabled,,,,,,,,,,,ban,27-01-2025 13:25:33,,,12.0.9.7,12.0.4.14ac,0,Disabled,Disabled,BLR-WIFILAB,BLR-WIFILAB,,,,,15-01-2025 06:17
